^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS111
!dataset_title = Steady-state temperature (y14)
!dataset_description = Samples collected from cells grown continuously at 15°C, 17°C, 21°C, 25°C, 29°C, 33°C and 36°C. Included as part of a detailed characterization of global expression programs triggered by stress.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 11102521
!dataset_platform = GPL54
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = spotted DNA/cDNA
!dataset_feature_count = 9216
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 2
!dataset_sample_count = 8
!dataset_value_type = log ratio
!dataset_reference_series = GSE18
!dataset_order = ordered
!dataset_update_date = Nov 03 2005
^SUBSET = GDS111_1
!subset_dataset_id = GDS111
!subset_description = 15°C
!subset_sample_id = GSM1041
!subset_type = temperature
^SUBSET = GDS111_2
!subset_dataset_id = GDS111
!subset_description = 17°C
!subset_sample_id = GSM1047
!subset_type = temperature
^SUBSET = GDS111_3
!subset_dataset_id = GDS111
!subset_description = 21°C
!subset_sample_id = GSM1042
!subset_type = temperature
^SUBSET = GDS111_4
!subset_dataset_id = GDS111
!subset_description = 25°C
!subset_sample_id = GSM1043
!subset_type = temperature
^SUBSET = GDS111_5
!subset_dataset_id = GDS111
!subset_description = 29°C
!subset_sample_id = GSM1044
!subset_type = temperature
^SUBSET = GDS111_6
!subset_dataset_id = GDS111
!subset_description = 33°C
!subset_sample_id = GSM1045
!subset_type = temperature
^SUBSET = GDS111_7
!subset_dataset_id = GDS111
!subset_description = 36°C
!subset_sample_id = GSM1046,GSM1055
!subset_type = temperature
^DATASET = GDS111
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1041 = Value for GSM1041: steady state 15 dec C; src: pool; src: 15 deg C
#GSM1047 = Value for GSM1047: steady state 17 dec C; src: pool; src: 17 deg C
#GSM1042 = Value for GSM1042: steady state 21 dec C; src: pool; src: 21 deg C
#GSM1043 = Value for GSM1043: steady state 25 dec C; src: pool; src: 25 deg C
#GSM1044 = Value for GSM1044: steady state 29 dec C; src: pool; src: 29 deg C
#GSM1045 = Value for GSM1045: steady state 33 dec C; src: pool; src: 33 deg C
#GSM1046 = Value for GSM1046: steady state 36 dec C; src: pool; src: 36 deg C
#GSM1055 = Value for GSM1055: steady state 36 dec C: y14n095; src: pool; src: 36 deg C
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1041	GSM1047	GSM1042	GSM1043	GSM1044	GSM1045	GSM1046	GSM1055
2618	PSE1	-0.142	-0.607	-0.041	0.299	0.301	0.787	-0.035	-0.163
2619	YMR310C	-0.003	0.19	0.129	0.141	0.312	0.192	0.137	-0.04
2620	ELP6	-0.276	-0.112	-0.196	0.127	0.448	0.337	0.397	0.185
2621	PRE5	0.237	0.471	0.271	0.257	0.382	0.199	-0.057	-0.322
2622	DIA1	0.435	0.248	0.133	0.037	0.143	-0.035	0.357	-0.198
2623	APJ1	-0.531	-1.126	-0.737	-0.415	-0.107	-1.485	0.138	-0.399
2624	TPM1	-0.232	0.279	-0.034	0.529	0.387	0.096	0.097	-0.154
2625	SWS2	0.027	0.598	0.05	0.207	0.188	0.123	0.104	-0.209
2626	SAL1	0.633	0.634	0.306	0.145	-0.007	0.091	-0.412	-0.377
2627	MKT1	0.08	-0.537	-0.073	0.326	0.317	0.697	0.273	-0.049
2628	TCB2	0.055	-0.402	0.58	0.256	0.281	0.959	-0.138	-0.491
2629	MDG1	0.501	0.221	0.027	-0.095	-0.193	0.147	0.092	-0.013
2630	NOP13	-0.371	0.265	0.449	0.682	0.436	-0.029	-0.281	-0.592
2631	MRPL22	-0.098	0.208	0.427	0.117	0.34	0.029	-0.033	-0.208
2632	YNL179C	-0.177	0.784	0.391	0.124	-0.086	-0.287	0.07	-0.069
2633	YNL181W	0.203	0.357	0.447	0.229	0.338	-0.157	0.155	-0.294
2634	NPR1	0.567	-0.254	-0.104	0.227	-0.03	0.629	0.071	0.319
2635	BSC4	-0.334	0.064	-0.93	-0.263	-0.181	-0.531	0	0.456
2636	BNI1	0.181	0	-0.199	0.188	0	-0.12	0.158	-0.367
2637	TOF1	-0.094	-0.236	-0.153	0.427	0.122	0.336	0.4	0.03
2638	BOR1	0.759	0.654	0.261	0.329	-0.018	-0.127	-0.121	-0.152
2639	MET2	0.054	-0.077	-0.115	-0.023	0.17	0.046	0.362	0.177
2640	PRM1	-0.234	-0.038	-0.109	-0.102	0.072	0.169	0.585	0.676
2641	SEC12	-0.192	0.29	0.102	0.28	0.192	0.162	-0.306	-0.415
2642	CPR8	-0.332	0.466	0.194	0.342	0.29	0.172	-0.082	-0.323
2643	ALG12	0.039	-0.241	0.197	0.129	0.298	0.351	0.369	-0.006
2644	PPG1	0.319	0.464	0.328	0.031	0	-0.205	-0.076	-0.123
2645	SOL1	0.435	0.653	0.156	-0.012	0.065	-0.06	0.007	-0.141
2646	MRPS12	0.312	0.683	0.261	0.057	0.211	-0.038	0.459	0.102
2647	PSK2	null	-0.654	0.087	-0.082	-0.109	0.342	-0.186	0.041
2648	LDS2	-0.077	-0.301	-1.047	-0.436	-0.236	-0.379	0.423	0.17
2649	GSH2	-0.383	0.01	0.023	0.357	0.488	0.449	0.156	0.087
2650	GAL11	-0.61	0.033	-0.515	0.107	0	0.07	0.078	-0.415
2651	YOL053C	0.585	1.164	-1.065	-0.883	-0.974	-1.287	1.132	1.278
2652	PSH1	-0.103	-0.478	-0.088	0.371	0.021	-0.335	-0.267	-0.076
2653	ARG8	-0.163	-0.336	0.012	0.158	0.162	0.177	0.21	0.101
2654	RRP40	0.191	0.397	0.207	0.288	0.194	-0.351	0.367	0.129
2655	NOP8	-0.061	-0.103	0.573	0.256	0.18	-0.469	-0.351	-0.623
2656	PSF3	-0.096	0.087	0.248	-0.098	0.248	-0.245	0.031	-0.109
2657	SPT20	-0.335	-0.267	-0.035	0.125	0.318	0.169	0.2	0.506
2658	YOL150C	0.382	0.484	-0.266	-0.042	-0.174	-0.189	0.363	0.097
2659	GYP1	0.332	-0.072	0.203	0.102	0.15	0.233	0.153	0.093
2660	YOR072W	0.154	-0.448	0.098	-0.112	-0.22	0.435	-0.23	0.007
2661	CDC21	0.105	0.179	-0.136	0.353	0.087	-0.108	-0.276	-0.22
2662	SKI7	-0.014	0.103	0.204	0.265	0.204	0.251	0.074	-0.056
2663	BUD21	0.163	0.66	0.434	0.508	0.251	-0.688	-0.422	-0.215
2664	DIA2	0.313	0.413	0.41	0.236	0.01	-0.367	-0.183	-0.02
2665	SWT1	null	0.209	0.358	0.279	0.189	0.175	-0.11	-0.219
2666	GLN4	null	-0.272	0.312	0.398	0.509	0.51	-0.101	-0.439
2667	YOR170W	null	0.025	0.115	0.285	0.104	-0.079	-0.201	-0.389
2668	YRM1	null	-0.667	0.1	0.12	-0.263	-0.415	-0.202	0.057
2669	MED4	null	0.065	0.048	0.126	0.056	-0.047	0.062	-0.402
2670	HEM15	null	0.511	-0.023	0.102	0.384	0.13	0.029	-0.231
2671	GPN2	null	0.698	0.157	0.167	0.234	-0.363	-0.37	-0.452
2672	DSE3	null	-0.292	-0.224	0.098	0.377	0.387	0.505	0.301
2673	PNT1	null	0.752	0.384	0.313	0.112	-0.459	-0.056	-0.348
2674	YOR268C	null	-0.759	-0.222	-0.156	0.17	-1.078	0	-0.327
2675	VPH1	null	-0.039	0.465	0.169	0.377	0.245	0.436	0.165
2676	YTM1	null	0.361	0.723	0.477	0.318	-0.152	-0.06	-0.336
2677	HAP5	null	0.127	0.211	-0.105	0.118	-0.28	0.239	0.515
2678	PDE2	null	0.427	0.36	0.294	0.175	-0.025	0.342	-0.028
2679	PRE10	null	0.46	0.541	0.401	0.18	-0.433	0.108	-0.039
2680	YOR364W	null	-0.186	-0.328	-0.107	0	-0.147	0.331	-0.267
2681	YOR366W	null	-0.1	-0.429	0.052	-0.07	-0.585	-0.061	-0.128
2682	RAD17	null	0.812	0.243	0.49	-0.152	-0.27	0	-0.257
2683	MFM1	null	0.482	-0.518	0.025	-0.234	-0.597	0.199	-0.361
2684	YPL062W	null	-0.214	-1.263	-0.188	-0.608	-0.387	-0.954	-0.172
2685	CWC27	-0.156	-0.12	-0.187	0.241	0.066	-0.468	0.053	-0.022
2686	RGL1	-0.215	0.038	-0.366	0.099	0.071	0.368	0.952	0.91
2687	YPL068C	-0.086	0.033	-0.202	0.252	0	-0.081	0.35	0.222
2688	MUK1	0.144	0.247	-0.2	0	0	0.091	-0.027	0.174
2689	PRM4	0.493	0.647	0.032	0.072	0.06	-0.381	-0.335	-0.25
2690	AIM44	-0.525	-0.44	0.243	0.257	0.457	0.454	0.1	-0.262
2691	CDC60	-0.318	-0.982	0.173	0.467	0.366	0.945	0.01	-0.7
2692	YPL162C	0.015	-0.121	0.034	-0.246	0.184	0.378	0.264	0.079
2693	MLH3	-0.195	-0.269	-0.214	-0.08	0.095	0.251	0.428	0.281
2694	ATG29	0.737	0.485	-0.533	-0.741	-0.249	0.134	0.103	-0.435
2695	YAH1	-0.017	0.365	-0.099	0.121	0.355	-0.101	0.163	0.21
2696	HFI1	-0.011	0.031	-0.047	0.318	0.09	0.057	0.038	-0.277
2697	CLN2	0.125	-0.3	-0.215	0.318	0.354	0.405	0.221	0.142
2698	THI21	0.193	0.272	-0.085	0.326	0.06	-0.034	0.045	-0.233
2699	YPL260W	0.295	0.411	-0.059	0.024	0.171	0.096	0.116	-0.339
2700	FUM1	-0.071	0.208	-0.378	0.258	0.37	0.33	0.714	0.537
2701	ROX1	-0.957	0.138	-0.848	-0.231	0.459	-0.322	-0.263	-0.128
2702	ISA2	-0.089	0.404	0.238	-0.045	0.15	0.105	0.299	0.181
2703	SPE3	null	-0.29	-0.628	-0.144	0	0.263	0.28	null
2704	YPR071W	null	0.531	-0.436	0	1.222	0.678	1.415	4.087
2705	LTP1	null	0.192	0.096	0.306	0.471	0.258	0.175	-0.17
2706	OPY2	null	0.103	0.026	0.311	0.32	0.309	0.435	0.481
2707	SGV1	null	-0.049	0.114	0.327	0.267	0.153	0.147	0.095
2708	TIF3	null	0.541	0.23	0.376	0.306	-0.213	-0.31	-0.204
2709	RHO1	null	0.785	0.037	0.151	0.029	-0.245	-0.336	-0.253
2710	MET16	null	0.638	-0.06	0.012	0.024	-0.328	-0.029	-0.176
2711	JIP5	null	0.204	0.241	0.387	0.146	-0.245	0.14	-0.139
2712	BSP1	null	0.059	0.231	0.326	0.048	0.069	-0.121	0.142
2713	NORF 25	-0.178	0.42	-0.1	-0.015	-0.012	-0.055	0.255	0.078
2714	NORF 29	-0.046	-0.197	-0.512	-0.091	-0.035	-0.406	-0.247	-0.386
2715	NORF 33	0.103	0.819	0.257	0.325	0.434	0.075	-0.287	-0.339
2716	NORF 37	-0.926	0.214	-0.348	-0.128	0.093	-0.692	0	-0.453
2717	NORF 41	0.146	-0.241	-0.31	0.147	0.216	0.115	0.069	0.387
2718	NORF 45	0.485	-0.798	0.622	0.268	0.151	0.688	-0.345	-0.796
2719	KTR4	0.227	0.396	0.103	0.211	0.347	0.045	-0.227	-0.035
2720	PYC2	0.117	-0.327	-0.056	0.189	0.16	0.492	-0.06	-0.407
2721	ISW1	-0.014	-0.472	0.013	-0.395	0.453	0.105	-0.105	-0.069
2722	FUS1	0.16	0.345	0.47	0.256	0.383	-0.083	-0.488	-0.428
2723	RRP7	0.255	0.645	0.653	0.549	0.272	-0.223	-0.34	-0.492
2724	SPS22	0	0.079	-0.175	-0.198	0.107	-0.308	-0.095	-0.081
2725	YGL036W	-0.081	-0.656	0.117	0.075	0.237	0.574	0.256	-0.04
2726	NUP145	0.06	-0.644	0.251	0.271	0.131	0.95	0.3	-0.086
2727	GCN1	-0.085	-1.945	0.368	0.399	0.322	2.568	0.165	-0.474
2728	SEC15	0.066	-0.029	0.248	0.238	0.142	0.642	-0.168	-0.168
2729	ERG25	-0.274	-0.796	-0.111	-0.05	-0.028	1.316	0.45	-0.912
2730	SPT6	-0.116	-1.089	0.438	0.278	0.055	0.655	-0.675	-0.856
2731	HAP1	0.027	-1.42	0.205	0.318	0.338	0.77	0.073	0.102
2732	YLR280C	-0.163	-0.047	-0.152	0.215	0.065	-0.122	-0.642	-0.642
2733	CTF3	0.094	-0.482	0.282	0.212	0.151	0.215	0.605	0.208
2734	HMG2	0.11	-0.352	0.329	0.515	0.126	0.572	0.082	0.386
2735	FMP27	-0.823	-0.885	-0.515	-0.044	0.138	0.206	0.433	-0.033
2736	PPZ1	0.238	-0.063	-0.026	0.323	-0.034	0.153	0.232	0.346
2737	FAS2	-0.363	null	-1.322	-3.322	0	null	-0.585	0.322
2738	IQG1	0	-0.453	-0.807	0.044	-0.341	0.093	-0.144	null
2739	GYP5	0.014	-0.18	-0.188	0.237	0.136	0.278	0.47	0.009
2740	TIF6	0.583	0.948	0.616	0.382	0.201	-0.168	-0.417	-0.731
2741	ATG11	-0.405	-0.365	-0.123	0.125	0.085	0.318	0.409	0.247
2742	HOS1	0.156	0.725	0.36	0.19	0.155	-0.15	0.217	0.032
2743	YHR139C-A	-0.585	-0.893	-0.415	-0.054	-1.091	-0.248	1	-0.434
2744	AIM11	0.207	0.688	0.137	-0.008	-0.293	-0.101	0.347	0.247
2745	PRP42	-0.112	0.487	0.26	0.008	0.322	0.128	-0.085	-0.306
2746	MRPL7	-0.101	0.469	0.29	0.021	0.166	-0.024	0.085	-0.211
2747	YDR239C	-0.016	-0.242	0.156	0.011	0.208	0.361	0.165	0.014
2748	NVJ3	-0.215	0.044	0	-0.142	0.172	0.053	0.053	-0.113
2749	MRPL39	-0.138	0.632	-0.271	0.217	0.216	-0.268	0.373	0.023
2750	UNG1	-0.088	0.353	0.5	0.456	0.385	0.06	-0.087	-0.046
2751	RPL6A	-0.04	0.641	0.481	0.675	0.576	-0.044	-0.149	-0.332
2752	ALO1	0.354	0.491	0.073	0.404	0.141	0	0.083	0.009
2753	TUB3	-0.094	0.122	-0.004	0.105	0.295	0.194	0.312	0.26
2754	SAM37	0.016	0.615	-0.082	0.183	0.113	-0.201	-0.199	-0.238
2755	YFL019C	-0.206	-0.459	-0.874	0.12	0.175	-0.637	-0.087	-0.762
2756	PMC1	0.874	0.036	-0.262	-0.13	-0.521	0.056	-0.187	-0.391
2757	SGF73	-0.042	-0.404	-0.404	0.162	0	0.177	-0.077	-0.429
2758	MIG2	0.354	-0.043	-0.298	0.214	-0.06	-0.155	0.218	0.364
2759	MNT2	0.016	-0.279	-0.228	0.222	0.064	0.08	-0.411	-0.379
2760	ADE6	-0.112	-0.957	-0.286	0.05	0.144	1.146	-0.003	-0.205
2761	YML013C-A	-0.122	-0.511	-0.507	-0.339	-0.208	-0.316	-0.11	-0.117
2762	YML6	-0.015	-0.191	-0.344	-0.043	0.324	-0.182	-0.105	0.129
2763	YML032C-A	0.008	-0.675	-0.382	-0.199	0.017	0.098	-0.231	-0.394
2764	YML039W	-0.536	-2.379	0.28	0.016	0.672	1.084	0.263	-0.281
2765	IMD4	-0.244	0.081	0.636	0.525	0.512	0.228	0.278	0.13
2766	YML095C-A	-0.408	-0.131	0.106	0.167	0.27	-0.196	-0.252	-0.386
2767	TOF2	-0.267	-0.341	0.112	0.198	0.393	0.652	0.379	0.119
2768	YKR040C	0.402	-0.287	0.138	0.067	0.027	-0.165	0.21	-0.497
2769	PRP16	0.424	0.29	-0.301	0.276	0.093	-0.053	0.394	0.176
2770	LMO1	0.02	-0.424	0.081	0.408	0.328	0.462	-0.33	-0.256
2771	SDC25	1.071	0.047	0.082	0.035	-0.049	0.008	0.302	-0.08
2772	PAU17	0.527	0.42	-0.047	-0.299	0.121	0.138	0.464	0.314
2773	KEL3	-0.649	-0.373	0.373	0.374	0.347	0.489	0.166	-0.038
2774	PBI1	0.732	0.972	0.265	-0.102	-0.506	-0.407	-0.073	-0.233
2775	RPA135	-0.265	-0.591	0.521	0.366	0.178	1.231	0.204	-0.115
2776	YPR044C	-0.014	0.971	0.201	0.4	0.429	-0.324	-0.07	-0.067
2777	MSS18	0.111	0.298	-0.015	0.136	-0.049	-0.268	-0.027	-0.451
2778	URN1	0.225	0.197	-0.254	0.107	-0.022	-0.021	-0.087	-0.27
2779	EMPTY	-4.7	-0.17	-0.585	-0.415	null	null	-1.585	null
2780	EMPTY	-1.585	0.585	0.585	2.585	null	0	null	null
2781	EMPTY	-2.585	0	-2	0.415	null	-0.585	1	null
2782	EMPTY	-1	null	-0.322	-1.585	null	null	-0.322	null
2783	EMPTY	null	null	-1	0.737	null	null	0.193	-0.322
2784	EMPTY	-1.322	-2.322	-2.585	-2	1.585	null	-0.678	null
2785	MMS4	-0.1	-0.037	0.043	0.115	0.299	0.061	-0.135	-0.274
2786	ATG14	-0.288	0.205	-0.131	0.269	0.387	0.049	-0.098	-0.35
2787	SLI15	0.096	-0.143	0.107	0.005	0.33	0.375	0.358	0.025
2788	SDS24	0.356	0.647	0.222	-0.054	-0.065	-0.17	0.058	0.028
2789	MCX1	0.613	0.265	0.029	0.176	0.077	-0.123	0.018	-0.106
2790	MAL32	0.443	0.961	-0.159	0.178	0.163	-0.08	0.395	0.145
2791	EMPTY	0.4	-0.547	-0.365	-0.065	-0.071	0.4	-0.189	-0.255
2792	EMPTY	0.181	0.126	-0.939	-0.098	-0.327	-0.16	0.691	0.564
2793	EMPTY	-0.393	-0.007	0.202	0.374	0.5	0.473	0.153	-0.149
2794	EMPTY	0.095	0.333	0.29	0.283	0.111	-0.051	0.143	-0.432
2795	EMPTY	0.708	1.285	-1.13	-0.572	-0.818	-0.84	0.093	0.446
2796	EMPTY	-0.016	-0.133	0.407	0.341	0.173	-0.14	0.11	-0.132
2797	EMPTY	-0.229	-0.116	0.054	0.191	0.184	0.206	0.163	0.214
2798	EMPTY	0.242	0.65	0.501	0.262	0.119	-0.36	0.45	0.215
2799	EMPTY	0.009	0.082	0.596	0.432	0.336	-0.305	-0.082	-0.591
2800	EMPTY	0.022	0.176	0.176	0.243	0.066	-0.146	0.254	0.11
2801	EMPTY	-0.327	-0.103	0.093	0.228	0.319	0.233	0.491	0.225
2802	EMPTY	0.333	0.664	0.091	0.108	-0.119	-0.368	0.438	0.368
2803	EMPTY	0.234	-0.128	0.184	0.303	0.03	0.201	0.075	0.132
2804	EMPTY	0.19	-0.171	0.234	0.114	0.089	0.346	0.16	-0.379
2805	EMPTY	0.168	0.167	0.214	0.333	0.202	-0.239	0.102	-0.298
2806	EMPTY	0.144	0.056	-0.047	0.263	0.194	0.108	0.566	-0.35
2807	EMPTY	0.11	0.384	0.526	0.399	0.241	-0.706	-0.163	-0.463
2808	EMPTY	0.133	0.392	-0.05	-0.394	0.04	-0.477	0.237	-0.147
2809	SEC12	-0.466	-0.08	-0.162	0.248	-0.206	0.341	0.152	0.197
2810	CPR8	0.214	0.437	0.162	-0.021	0.21	-0.064	0.037	0.109
2811	ALG12	-0.005	0.197	0.319	-0.173	0.288	0.019	0	-0.547
2812	PPG1	1.031	0.263	-0.072	-0.552	-0.244	0.148	0.441	0.081
2813	SOL1	-0.05	0.091	0.325	0.091	0.196	-0.04	0.06	-0.175
2814	MRPS12	0.028	0.422	0.075	0.058	-0.096	0	0.089	-0.036
2815	PSK2	0.29	1.585	0	-0.7	null	1.222	null	-0.18
2816	LDS2	0.585	-0.531	-0.263	null	null	-1	null	null
2817	GSH2	1	null	-0.737	null	null	1	0	null
2818	GAL11	0.415	null	-0.737	0.585	null	-1.585	0	null
2819	YOL053C	-0.485	null	1.585	0	-1	-1.322	-0.848	null
2820	PSH1	-1	0.093	-1	1.322	-1.585	-0.737	-0.322	2.644
2821	ARG8	null	null	-1.585	1	null	null	-0.652	null
2822	RRP40	null	null	null	-1	1	null	-0.737	null
2823	NOP8	null	null	0	null	-1	1	null	null
2824	PSF3	1	null	-1.322	null	null	0	null	null
2825	SPT20	1.585	1	-2.322	1	null	null	null	1
2826	YOL150C	-1	null	null	null	-1.585	-1	null	null
2827	GYP1	null	0	-0.585	0	-0.737	null	-1.17	null
2828	YOR072W	null	3	0	-1.051	null	null	-0.737	null
2829	CDC21	null	1.322	null	0	null	null	1.585	null
2830	SKI7	null	null	null	null	-1	null	0	null
2831	BUD21	null	null	null	-1	1	0	0	null
2832	DIA2	null	null	null	-0.322	null	null	1.087	null
2833	SWT1	-0.249	-0.066	-0.139	0.276	0.42	0.105	-0.046	-0.105
2834	GLN4	-0.339	-0.459	0.503	0.469	0.529	0.523	-0.119	-0.41
2835	YOR170W	-0.346	-0.357	0.019	0	0.25	-0.102	0.187	-0.493
2836	YRM1	-0.212	-0.193	-0.216	0.158	-0.429	-0.337	-0.9	0.502
2837	MED4	0.254	0	0.036	-0.09	0	0.152	0.3	0.867
2838	HEM15	0.236	0.291	0.185	0.244	0.456	0.223	0.145	-0.279
2839	GPN2	0.402	0.592	0.387	0.299	0.22	-0.339	-0.473	-0.377
2840	DSE3	-0.379	-0.113	-0.099	0.035	0.404	0.486	0.543	0.21
2841	PNT1	0.235	0.269	0.466	0.35	-0.692	-0.242	-0.481	-0.632
2842	YOR268C	-0.356	-0.704	-0.222	0.049	-0.184	-0.248	-0.459	-0.454
2843	VPH1	0.274	-0.502	0.466	0.253	0.324	0.495	0.303	0.18
2844	YTM1	0.181	0.379	0.675	0.453	0.331	-0.244	-0.113	-0.2
2845	HAP5	0.427	-0.737	0.065	0.045	-0.122	-0.157	0.157	-0.292
2846	PDE2	0.138	0.198	0.332	0.366	0.009	0.006	0.211	0.121
2847	PRE10	0.442	0.531	0.269	0.292	0.11	-0.119	0.096	0.085
2848	YOR364W	-0.455	-0.336	-0.722	-0.016	0	0.1	0.119	-0.225
2849	YOR366W	-0.766	-0.496	-0.819	0.14	0	0.054	0.167	-0.66
2850	RAD17	0.045	0.361	0.318	0.19	0.066	-0.239	-0.214	0.126
2851	MFM1	0.212	0.209	-0.138	0.191	0.141	-0.144	0	-0.042
2852	YPL062W	-0.567	-0.392	-0.356	0.217	-0.284	-0.392	0.273	-0.525
2853	CWC27	-0.032	-0.128	0.207	0.399	0.227	0.104	0.182	0.319
2854	RGL1	-0.109	0.025	-0.002	0.067	-0.086	0.254	1.06	0.806
2855	YPL068C	0.033	0.229	0.293	0.051	-0.01	0.015	0.599	0.51
2856	MUK1	0.32	0.296	0.125	0.057	-0.117	0.076	-0.569	-0.62
2857	PRM4	0.539	0.705	-0.101	0.087	-0.072	-0.299	-0.324	-0.406
2858	AIM44	-0.587	-0.496	0.134	0.229	0.42	0.396	0.122	-0.186
2859	CDC60	-0.458	-0.662	0.052	0.525	0.54	0.917	0.025	-0.61
2860	YPL162C	0.009	-0.257	-0.069	-0.031	0.184	0.344	0.328	0.189
2861	MLH3	-0.146	-0.263	-0.124	-0.066	0.148	0.397	0.447	0.384
2862	ATG29	0.807	0.451	-0.847	-0.502	-0.251	0.117	-0.097	0.113
2863	YAH1	0.038	0.236	0.186	0.341	0.205	-0.135	0.408	0.152
2864	HFI1	0.218	0.245	0.295	0.267	0.144	0.053	-0.149	-0.118
2865	CLN2	0.189	-0.134	0.266	0.269	0.427	0.42	0.082	0.107
2866	THI21	0.34	0.232	0.294	0.181	0.087	0.006	0.213	-0.071
2867	YPL260W	0.285	0.368	0.4	0.315	0.193	0.223	0.141	-0.139
2868	FUM1	-0.056	-0.299	0.14	0.16	0.363	0.358	0.848	0.646
2869	ROX1	-0.436	0.09	-0.082	0.269	0.126	0.29	0	-0.057
2870	ISA2	0.005	0.52	0.153	0.201	0.164	0.071	0.318	-0.007
2871	SPE3	-0.322	0.716	-0.16	0.148	-0.585	-0.585	-0.524	1.524
2872	YPR071W	0.152	0.441	-0.322	-0.794	0.737	-1.222	-0.415	null
2873	LTP1	-0.412	0.115	0.143	0.254	0.456	0.269	0.116	0.049
2874	OPY2	-0.196	-0.378	0.073	0.294	0.259	0.495	0.683	0.398
2875	SGV1	-0.109	-0.065	0.315	0.281	0.236	0.411	0.178	0.062
2876	TIF3	0.122	0.519	0.627	0.589	0.309	0.031	-0.551	-0.211
2877	RHO1	0.581	0.938	0.487	0.177	0.112	-0.186	-0.293	-0.514
2878	MET16	0.799	0.814	0.227	-0.27	-0.022	-0.175	-0.151	-0.039
2879	JIP5	0.063	0.334	0.503	0.012	0.242	-0.188	-0.066	-0.117
2880	BSP1	0.216	0.315	0.237	0.213	0.243	0.079	-0.454	0.187
2881	CY3 0.1X	-7.098	-5.618	-6.541	-5.804	-6.008	-5.582	-5.84	-5.938
2882	3XSSC	-0.061	-0.585	-0.188	-0.263	-0.163	-0.285	-0.286	-0.196
2883	3XSSC	-0.459	-0.867	-1.064	-1.874	-0.322	-0.652	-0.807	-0.663
2884	CY5 0.1X	-0.569	-0.237	-0.59	-0.872	-0.236	-0.794	-0.772	-0.862
2885	3XSSC	-0.373	-0.157	-0.418	0.04	-0.133	-0.336	-0.443	-0.09
2886	3XSSC	-0.515	0.241	0	2.322	-0.415	-0.807	0.541	0.138
2887	EMPTY	-0.22	-0.29	-0.475	0.043	-0.108	-0.249	-0.149	-0.166
2888	EMPTY	-0.459	null	-0.585	null	0.585	0	-2	null
2889	EMPTY	-1.874	null	null	-1	null	0	null	null
2890	EMPTY	-0.737	0	null	0	2	0	null	0.255
2891	EMPTY	0	-4.524	-1.322	null	0	-1	1.15	null
2892	EMPTY	-2.322	null	null	0	0	-0.322	null	1.222
2893	EMPTY	null	null	null	null	null	-1	null	null
2894	EMPTY	null	null	null	-1.585	0	-1	1	0.334
2895	EMPTY	-1.585	null	-0.585	-2	null	null	null	null
2896	EMPTY	-0.585	-2.585	-1.322	null	-1	null	null	null
2897	EMPTY	0	null	-2.459	null	null	null	null	-0.759
2898	EMPTY	-2.17	null	0	null	0.222	null	null	2.138
2899	EMPTY	-1.585	null	null	-1	-1	0	null	-0.387
2900	EMPTY	1	3.17	-1.149	null	null	-2	null	null
2901	EMPTY	null	0	null	null	null	0	null	null
2902	EMPTY	-2.585	-1	null	null	null	-1.222	0	-0.559
2903	EMPTY	0	null	null	null	0	null	null	null
2904	EMPTY	0	null	-2	null	null	null	null	0.078
2905	RBG1	-0.371	0	-0.172	0.303	0.193	-0.013	0.291	0.023
2906	CDC19	0.832	0.166	0.405	0.549	0.302	0.068	-0.296	-0.194
2907	CLN3	0.712	-0.424	0.024	0.17	-0.201	-0.288	-0.151	-0.387
2908	ERV46	0.033	-0.128	0.031	0.195	0.115	-0.042	-0.084	-0.05
2909	GCV3	-0.395	-0.105	-0.5	-0.176	0.171	0.517	0.392	0.768
2910	AIM1	-0.395	0.152	-0.23	0.067	0.301	0.108	0.158	0.464
2911	RPL19B	-0.206	0.485	0.456	0.658	0.678	0.142	-0.126	0.336
2912	YBL029W	-0.28	-0.181	-0.372	-0.266	-0.108	0.067	0.058	0.291
2913	SHE1	-0.191	0.052	-0.155	0.038	-0.082	0.141	0.008	0.258
2914	RIB1	-0.247	-0.027	-0.401	-0.15	-0.143	-0.17	-0.458	0.067
2915	POL12	-0.172	-0.322	0.08	0.208	0.234	0.444	-0.287	0.25
2916	APL3	0.06	-0.308	0	0	-0.216	0.459	-0.127	0.07
2917	FLR1	0.283	0.047	-0.017	-0.165	-0.154	-0.159	-0.121	-0.06
2918	HHT1	0.212	0.767	0.476	0.446	0.323	0.045	-0.187	0.311
2919	YBR012C	-1.05	-1.26	-0.585	-0.25	0.099	0.547	0.52	0.44
2920	YBR012W-B	-0.84	-2.142	-0.219	0.419	0.366	1.47	-0.109	-0.302
