^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS34
!dataset_title = Heat shock from 37°C to 25°C time course
!dataset_description = Heat shock from 37°C to 25°C. Samples collected at 15, 30, 45, 60 and 90 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 11102521
!dataset_platform = GPL56
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = spotted DNA/cDNA
!dataset_feature_count = 8448
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 2
!dataset_sample_count = 5
!dataset_value_type = log ratio
!dataset_reference_series = GSE18
!dataset_order = ordered
!dataset_update_date = Nov 03 2005
^SUBSET = GDS34_1
!subset_dataset_id = GDS34
!subset_description = 15 minute
!subset_sample_id = GSM1019
!subset_type = time
^SUBSET = GDS34_2
!subset_dataset_id = GDS34
!subset_description = 30 minute
!subset_sample_id = GSM1020
!subset_type = time
^SUBSET = GDS34_3
!subset_dataset_id = GDS34
!subset_description = 45 minute
!subset_sample_id = GSM1021
!subset_type = time
^SUBSET = GDS34_4
!subset_dataset_id = GDS34
!subset_description = 60 minute
!subset_sample_id = GSM1022
!subset_type = time
^SUBSET = GDS34_5
!subset_dataset_id = GDS34
!subset_description = 90 minute
!subset_sample_id = GSM1023
!subset_type = time
^DATASET = GDS34
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1019 = Value for GSM1019: 25C -- 15 min; src: 37C; src: 25C - 15 min
#GSM1020 = Value for GSM1020: 25C -- 30 min; src: 37C; src: 25C - 30 min
#GSM1021 = Value for GSM1021: 25C -- 45 min; src: 37C; src: 25C - 45 min
#GSM1022 = Value for GSM1022: 25C -- 60 min; src: 37C; src: 25C - 60 min
#GSM1023 = Value for GSM1023: 25C -- 90 min; src: 37C; src: 25C - 90 min
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1019	GSM1020	GSM1021	GSM1022	GSM1023
2199	YBL113C	0	-0.054	-0.243	-0.12	0.536
2200	RER2	0.282	null	0.114	0.32	0.428
2201	GPI18	0.329	null	0.415	-0.248	0.48
2202	UGA2	-0.228	-0.48	-1.124	-1.114	-0.935
2203	YBR089W	-0.584	-0.94	0.804	1.197	1.091
2204	NHP6B	0.384	0.257	0.261	0.748	0.404
2205	PHO3	0.016	-0.104	-0.163	0.638	0.227
2206	PBY1	0.207	-0.107	0.538	-0.271	0.195
2207	YBR096W	-1.08	-1.108	-1.078	-0.477	-0.203
2208	MMS4	-0.778	-0.363	null	null	-0.333
2209	RIP1	-0.563	-1.356	-1.023	-0.573	0.185
2210	SNU13	1.072	1.39	1.234	1.696	1.362
2211	YEL028W	0.173	-0.262	-0.023	-0.428	-0.381
2212	ECM10	1.014	null	null	-1.773	null
2213	MCM3	0.14	0.132	-0.056	-0.342	0.275
2214	HYP2	0.722	0.975	0.858	1.659	1.405
2215	MXR1	-0.211	-0.331	-0.445	0.417	0.561
2216	YER0441C	-0.39	null	0.098	-1.011	-0.363
2217	ACA1	-0.048	-0.172	-0.307	-0.103	-0.58
2218	SAP1	0.348	-0.92	0.63	-0.322	-0.036
2219	TPA1	0.51	0.695	0.873	0.336	0.468
2220	JHD1	-0.195	-0.068	-0.076	-0.528	-0.205
2221	YER135C	-0.418	null	null	-1.146	-1.054
2222	YER137C	-2.939	null	null	-0.713	-1.054
2223	RTR1	-0.21	-0.139	-0.364	-0.993	-0.542
2224	COX15	-0.373	-0.711	-0.915	-0.301	-0.372
2225	DDI1	-0.268	-0.312	-0.636	-0.821	-0.461
2226	FTR1	-0.979	-0.197	-0.974	0.727	0.492
2227	YPT1	0.359	null	0.333	0	0.075
2228	YFL040W	-0.739	null	-0.663	-1.099	-0.651
2229	LAM5	-0.38	-0.185	-0.602	-0.475	-0.736
2230	OTU1	-0.389	-0.117	-0.79	-0.302	-0.928
2231	FMP32	-0.251	-0.222	-0.279	0.309	0.09
2232	EMP47	-0.564	-0.409	-0.342	-0.224	-0.134
2233	PMA1	0.478	-0.162	0.1	-0.921	0.417
2234	MPO1	-0.341	-0.484	-0.401	-0.105	-0.105
2235	ERG4	-0.122	-0.051	-0.424	0.556	0.983
2236	PUF4	1.464	1.409	1.299	0.544	0.773
2237	KAP122	0.458	0.249	0.765	-0.189	0.396
2238	JAC1	-0.295	null	-0.752	-0.931	-1.026
2239	VPS73	-0.562	-0.769	-1.302	-0.977	-0.686
2240	MLC1	-0.12	-0.073	-0.233	0.516	-0.054
2241	YGL108C	-0.54	-0.443	-0.446	-0.468	-0.806
2242	CUE3	-0.067	0.126	0.185	0.032	-0.134
2243	TAF6	0.249	0.284	0.196	-0.249	0.15
2244	YGL114W	0.523	-1.401	0.069	0.347	0.195
2245	EMP24	-0.111	-0.231	-0.264	0.564	0.625
2246	ARO8	0.849	0.916	0.697	0.704	0.765
2247	YGL204C	0.088	-0.171	0.157	-1.099	-0.38
2248	CHC1	-0.926	null	null	3.322	0.059
2249	SIP2	-0.876	null	-0.798	-0.565	-0.824
2250	YPT32	0.059	-0.433	-0.246	-0.303	0.19
2251	TIM21	0.261	-0.343	0.14	0.016	0.098
2252	YGR035C	-0.376	0.386	0.263	-0.349	-0.353
2253	ACB1	0.654	1.308	0.727	1.413	0.786
2254	YGR039W	-0.287	-0.39	-0.412	-1.113	-0.776
2255	BUD9	-0.58	-0.549	-0.723	-0.218	-0.442
2256	NQM1	-1.11	-1.331	-1.512	-2.304	-2.212
2257	SYF2	0.385	0.034	0.596	-0.282	-0.44
2258	FHN1	-0.107	-0.268	-0.442	-0.604	-0.58
2259	PEX4	-0.399	-0.076	-0.908	0.284	-0.107
2260	PRE9	-0.11	0.07	-0.147	0.275	0.027
2261	YGR137W	-1.281	-0.585	-1.583	-0.201	-0.695
2262	YGR139W	-1.769	-1.539	-0.743	-1.106	-1
2263	AMA1	-1.9	null	-1.018	-1.993	-1.148
2264	DIE2	0.275	-0.397	0.546	-0.599	-0.101
2265	SMI1	0.549	0.546	0.693	0.609	0.501
2266	PHB2	-0.025	0.503	-0.569	0.646	-0.159
2267	PHO81	0.929	null	0.628	0.147	0.655
2268	MIC26	-0.135	0.339	0.127	0.62	0.748
2269	SNF6	0.308	-1.971	-0.175	-0.309	0.281
2270	RIM101	0.534	0.282	0.034	0.335	-0.214
2271	OCA5	0.699	0.08	0.28	-0.227	-0.099
2272	GOS1	-0.935	-2.084	-0.645	-1.299	-0.579
2273	RPL8A	0.882	1.103	0.876	1.619	1.319
2274	VMR1	-0.088	null	null	null	0.794
2275	TRM5	0.045	0.06	null	-0.957	0.057
2276	ERG7	0.533	0.863	null	0.82	0.363
2277	QNS1	0.165	0.039	-0.378	-0.113	0.254
2278	PTC7	-0.031	-0.04	0.359	0.167	0.159
2279	YHR078W	-1	-0.306	-0.332	null	-0.067
2280	IRE1	0.754	0.274	0.827	-0.45	0.312
2281	DNA2	3.97	0.585	null	0	1.322
2282	CDC23	0.014	-0.176	-0.474	-0.434	-0.475
2283	MTG2	-0.192	null	-0.236	-0.646	-0.16
2284	NMD3	1.671	1.886	1.244	1.65	0.916
2285	SPC97	-0.743	0.085	null	-0.719	0.198
2286	ENO2	-0.084	-0.28	-0.939	0.408	0.546
2287	GVP36	0.054	null	0.044	1.168	0.585
2288	CBR1	0.449	0.11	0.025	0.783	0.511
2289	PIG2	-0.762	0.262	-0.804	-0.898	-0.841
2290	SYG1	0.884	-0.285	-0.184	0.325	0.169
2291	DFG10	-0.161	-0.31	-0.162	0.014	0.343
2292	MMF1	-0.365	-0.304	-1.024	0.257	0.31
2293	TPM2	-0.52	-0.668	-0.523	-0.537	-0.396
2294	AXL2	-0.542	-1.072	0.226	-0.122	0.465
2295	CCT2	0.629	0.19	-0.36	0.514	0.235
2296	NDC80	-0.3	0.353	-0.126	-0.521	-0.219
2297	ATG32	0.218	-0.401	0.011	-0.298	-0.102
2298	RPL40A	0.403	0.719	0.696	1.527	1.151
2299	MAD3	-0.224	-0.325	0.195	-0.638	-0.285
2300	YJL015C	-0.427	-0.646	-0.146	null	-0.055
2301	YJL016W	-0.448	-0.235	0.082	-1.481	-0.452
2302	MPS3	-0.497	-0.406	-0.026	-0.428	0.072
2303	BBC1	-0.927	-1.04	-1.262	-0.19	-0.497
2304	PET130	-0.225	-0.187	-0.064	-0.638	-0.417
2305	GZF3	1.032	0.979	0.522	0.332	0.128
2306	MDV1	0.335	null	0.172	0.261	0.379
2307	YJL114W	-0.456	-0.529	-0.13	-1.626	-1.035
2308	NCA3	0.979	0.178	0.386	-1.031	-0.873
2309	YJL118W	0.104	1.182	null	-0.642	null
2310	YJL120W	-0.024	2.019	null	-0.866	-0.115
2311	NCE101	0.074	-0.444	-0.033	-0.566	-0.345
2312	NUC1	0.542	0.535	0.599	0.432	0.222
2313	PEX2	-0.451	null	-0.37	-0.896	0.584
2314	OPT1	0.352	null	0.516	0.726	1.157
2315	HXT8	-0.461	-0.396	-0.187	-0.726	-0.544
2316	IMA5	-0.702	-0.675	-0.381	-0.902	-0.643
2317	MIR1	0.938	0.939	0.644	1.463	0.992
2318	YJR079W	-0.047	-0.07	0.074	0.053	-0.1
2319	EAF6	0.412	0.21	0.289	0.251	-0.186
2320	YJR084W	-0.203	-0.306	-0.034	-0.565	null
2321	STE18	-0.799	-0.434	-0.647	0.08	0.076
2322	EMC2	-0.39	-0.448	-0.333	-0.019	-0.114
2323	CCE1	-0.54	-0.487	-0.592	-0.652	-0.204
2324	ARC19	-0.174	-0.318	-0.368	0.022	0.159
2325	PUT3	1.23	0.862	0.39	-0.095	-0.08
2326	HCS1	-0.137	-0.118	-0.265	-0.426	-0.183
2327	RAM2	-0.092	-0.199	-0.074	-0.279	0.202
2328	MAK11	0.831	0.952	0.945	0.637	0.505
2329	AAT1	0.12	-0.055	0.346	-0.462	0.01
2330	SLD2	-1.017	-0.549	-0.358	-0.23	-0.037
2331	KTI12	0.426	0.505	0.378	0.416	0.201
2332	ABF1	-0.985	-0.647	-0.423	0.614	0.128
2333	APN1	0.207	0.159	0.085	0.075	-0.154
2334	PRR1	0.164	-0.339	0.305	-0.027	0.186
2335	YKL202W	-0.094	-0.489	-0.385	-0.772	-0.763
2336	EAP1	0.581	null	0.592	0.35	0.1
2337	ADD66	-0.073	-0.587	-0.295	-0.141	-0.112
2338	CBT1	-0.713	null	-0.437	-0.817	-0.903
2339	UBA1	0.18	0.09	-0.227	-0.442	-0.043
2340	SAC1	0.628	0.135	0.22	-0.111	0.589
2341	YKR073C	-0.593	-0.447	-0.645	null	-0.585
2342	YKR075C	0.267	-1.024	0.196	-0.004	-0.32
2343	MSA2	0.125	-0.543	0.699	0.197	0.205
2344	TRZ1	0.944	0.684	0.877	-0.15	null
2345	RPF2	1.065	1.661	1.127	0.953	0.491
2346	DAD2	-0.396	-0.227	0.25	0.346	0.26
2347	AYT1	-0.051	-0.086	-0.654	-0.224	-0.206
2348	YLL065W	-0.272	-0.426	-0.542	-0.385	0.037
2349	YLL067C	-0.047	-0.637	0.063	-0.354	0.381
2350	NOC3	0.855	0.951	0.813	0.501	0.175
2351	THI73	-0.617	-0.201	-0.89	-0.592	-1.01
2352	SSK1	-0.012	-0.158	-0.091	-0.492	-0.132
2353	SUL2	-1.222	null	null	-4.672	-0.807
2354	GIS3	0.237	null	0.204	-0.11	0.434
2355	KIN2	null	0.511	0.292	1.067	0.763
2356	CHA4	0.284	-0.937	0.161	-1.324	-0.21
2357	ERG27	0.091	0.075	-0.303	0.396	0.197
2358	APC9	-0.448	-0.135	-0.547	0.032	-0.67
2359	MDL1	0.565	null	0.107	-0.413	0.106
2360	MMR1	0.71	0.165	0.694	0.409	0.322
2361	HCR1	0.549	0.728	0.58	0.626	0.544
2362	YLR194C	-0.462	-0.142	-0.069	0.03	-0.633
2363	PWP1	1.406	1.362	1.461	1.194	0.764
2364	YLR198C	1.064	1.497	1.165	1.585	1.291
2365	ECI1	-1.046	-1.161	-0.83	-0.742	-0.728
2366	CTS1	0.29	-0.188	-0.501	-0.86	-0.21
2367	MEC3	-0.276	-0.256	-0.024	-0.184	-0.292
2368	COQ11	-0.468	-0.549	-0.511	-0.508	0.112
2369	SEC72	0.212	0.446	0.155	0.676	0.195
2370	YLR294C	0.109	0.226	0.155	0.737	0.621
2371	CSR1	0.027	0.4	-0.128	1.134	0.599
2372	NAM2	-0.785	-1.376	-0.223	0.279	0.109
2373	IKI3	1.142	null	0.775	1.532	0.427
2374	VAC14	-0.044	-0.706	0.133	-0.26	0.069
2375	RPS29A	0.632	0.876	1.102	1.64	1.6
2376	ECM19	0.63	0.201	-0.786	-0.193	0.175
2377	SPT5	1.141	null	0.196	-0.428	0.551
2378	ERV25	0	0.205	-0.185	0.914	0.636
2379	TRM9	-0.162	null	-0.055	0.463	-0.229
2380	PPZ1	1.261	null	0.819	-0.798	-0.29
2381	OST6	0.181	-0.285	0.267	0.013	0.559
2382	YML021W	0.007	-0.311	0.036	0.858	0.609
2383	NDI1	-0.504	-0.02	-0.818	-0.345	-0.02
2384	YML122C	-0.179	-0.2	-0.415	-0.746	-0.475
2385	PGA3	0.61	0.662	0.361	0.56	0.439
2386	RSC9	-0.044	0.036	-0.231	0.09	0.267
2387	COX14	-0.396	-0.511	-0.569	-0.169	0.025
2388	YML131W	0.53	-0.127	-0.153	-0.094	0.199
2389	CTF13	-0.145	-0.573	-0.635	-1.543	-0.751
2390	SNZ1	-0.477	-0.039	-0.388	0.016	0.015
2391	ATP25	-0.569	-0.879	-0.681	-0.76	-0.587
2392	MUB1	0.115	0.046	0.494	-0.88	0.106
2393	YMR102C	null	null	3.248	-1.28	1.544
2394	YPK2	-0.345	-1.786	-0.854	-1.755	-0.432
2395	ROT1	0.197	0.182	-0.141	-0.007	0.297
2396	TOM40	0.341	0.182	0.313	-0.18	0.719
2397	PFK2	-0.45	-0.165	-0.364	0.54	0.567
2398	HFA1	0.165	null	-1.007	-0.394	-0.276
2399	YMR209C	-0.518	0.141	0.036	0.526	0.312
2400	DML1	0.081	0.045	0.046	-0.242	-0.008
2401	FKS3	0.568	0.331	0.119	-0.94	0.042
2402	PSE1	0.94	0.706	0.65	0.126	0.451
2403	YMR310C	0.89	0.781	0.7	0.492	0.332
2404	ELP6	-0.092	0.127	-0.015	0.005	0.055
2405	PRE5	0.18	0.211	-0.031	0.57	0.055
2406	DIA1	-0.369	-0.342	-0.865	-0.841	-1.019
2407	APJ1	0.305	0.118	-0.366	-0.594	-0.531
2408	TPM1	0.103	-0.087	-0.217	0.309	-0.251
2409	SWS2	-0.14	0.053	-0.054	0.342	0.034
2410	SAL1	0.489	0.178	0.516	-0.369	-0.127
2411	MKT1	0.487	0.109	0.468	-0.718	-0.074
2412	TCB2	1.044	0.787	1.303	0.454	0.838
2413	MDG1	-0.054	-0.472	-0.229	-0.363	-0.346
2414	NOP13	1.501	1.678	1.595	1.054	0.868
2415	MRPL22	0.249	-0.213	0.05	0.045	0.12
2416	YNL179C	0.367	-0.369	-0.387	-1.531	-0.011
2417	YNL181W	-0.185	-0.398	-0.417	-0.092	-0.039
2418	NPR1	0.288	-0.329	-0.127	-0.605	-0.186
2419	BSC4	-0.213	-0.498	-0.446	-1.235	-0.286
2420	BNI1	0.604	0.62	0.459	0.267	0.388
2421	TOF1	-0.125	-0.718	0.325	0.262	0.372
2422	BOR1	0.171	0.344	0.314	0.502	0.308
2423	MET2	-0.775	null	-0.516	-0.383	-0.511
2424	PRM1	-0.433	-0.064	-0.462	-0.621	-0.421
2425	SEC12	0.171	0.094	-0.036	-0.244	-0.342
2426	CPR8	-0.414	-0.073	0.581	0.611	0.744
2427	ALG12	-0.362	-0.878	-0.451	-0.901	0.138
2428	PPG1	0.329	0.178	-0.073	0.381	0.087
2429	SOL1	-0.44	-0.359	-0.763	-0.12	-0.073
2430	MRPS12	0.186	-0.042	-0.334	-0.442	0.07
2431	PSK2	0.687	0.392	0.357	0.052	0.123
2432	LDS2	-0.518	-0.49	-0.791	-1.179	-1.355
2433	GSH2	-0.298	-0.109	-0.454	-0.265	-0.113
2434	GAL11	0.658	0.975	0.129	0.446	0.329
2435	YOL053C	-0.995	-1.544	-1.295	null	-1.748
2436	PSH1	0.042	-0.151	-0.081	-0.62	-0.307
2437	ARG8	0.619	0.532	-0.179	-0.268	-0.356
2438	RRP40	0.853	0.431	0.539	0.159	0.336
2439	NOP8	1.024	0.79	0.835	0.963	0.188
2440	PSF3	-0.563	-0.403	-0.235	-0.154	-0.243
2441	SPT20	-0.204	-0.007	-0.163	-0.631	-0.644
2442	YOL150C	-0.799	-0.57	-0.536	-0.072	0.207
2443	GYP1	-0.142	-0.509	-0.332	-0.333	-0.119
2444	YOR072W	-0.227	null	-0.501	-0.647	-0.459
2445	CDC21	-1.375	-0.978	-0.382	0.12	0.236
2446	SKI7	-0.057	-0.372	0.229	null	-0.177
2447	BUD21	0.664	0.494	0.561	0.825	-0.017
2448	DIA2	-0.131	0.096	0.019	0.055	0.312
2449	SWT1	-0.135	0.178	-0.061	-0.336	-0.357
2450	GLN4	0.96	0.679	0.751	0.235	0.656
2451	YOR170W	0.286	0.641	0.653	0.37	0.326
2452	YRM1	0.702	0.546	0.519	null	0.949
2453	MED4	0.566	0.577	0.179	null	0.722
2454	HEM15	0.503	0.497	-0.308	-0.191	0.439
2455	GPN2	0.478	0.619	0.399	0.621	0.371
2456	DSE3	-0.803	-1.11	-0.99	-1.173	-0.822
2457	PNT1	-0.055	0.243	0.143	-0.263	0.387
2458	YOR268C	-1.278	null	-0.187	-1.159	-0.492
2459	VPH1	-0.158	-0.15	0.262	-0.633	0.216
2460	YTM1	1.263	1.604	1.254	1.263	0.465
2461	HAP5	0.374	0.045	-0.177	-0.315	-0.38
2462	PDE2	1.111	0.474	0.271	-0.346	0.016
2463	PRE10	0.324	0.052	-0.021	-0.147	0.101
2464	YOR364W	0.628	null	0.743	-1.038	-0.529
2465	YOR366W	-0.179	0.388	0.324	-0.345	-0.771
2466	RAD17	-0.006	-0.256	0.105	-0.433	0.171
2467	MFM1	-0.581	null	-0.634	-0.561	-0.904
2468	YPL062W	null	null	-1.585	-0.4	-1.512
2469	CWC27	-0.338	-0.467	-0.357	-0.672	-0.317
2470	RGL1	-0.259	null	-0.234	-1.096	-0.304
2471	YPL068C	0.221	0.932	0.012	0.738	-0.35
2472	MUK1	0.411	-0.409	-0.002	-0.947	-0.242
2473	PRM4	-0.219	0.098	0.095	0.601	0.193
2474	AIM44	-0.388	-0.454	-0.12	-0.47	-0.483
2475	CDC60	1.061	0.69	1.116	0.366	0.893
2476	YPL162C	-0.089	-0.624	-0.558	-1.02	-0.287
2477	MLH3	-0.532	-0.664	-0.325	-1.247	-0.644
2478	ATG29	-0.871	-1.058	-0.725	-1.644	-1.019
2479	YAH1	0.432	0.347	0.029	0.261	0.622
2480	HFI1	0.021	null	-0.018	0.097	-0.151
2481	CLN2	0.042	-0.188	0.34	0.102	0.472
2482	THI21	0.107	0.038	-0.283	-0.64	-0.553
2483	YPL260W	-0.207	-0.295	-0.069	-0.251	-0.002
2484	FUM1	-0.266	-0.362	-0.438	-0.029	-0.064
2485	ROX1	0.222	null	0.359	-1.718	0.027
2486	ISA2	-0.146	-0.255	-0.252	-0.008	-0.023
2487	SPE3	-0.37	null	null	-1.129	0.082
2488	YPR071W	-0.075	null	null	null	-0.295
2489	LTP1	-0.226	-0.173	-0.233	-0.377	-0.149
2490	OPY2	-0.111	null	-0.02	-0.431	0.042
2491	SGV1	0.593	null	0.292	-0.291	-0.261
2492	TIF3	0.937	null	1.056	1.037	0.853
2493	RHO1	0.539	1.245	0.013	0.907	0.858
2494	MET16	0.306	null	-1.013	-0.665	-0.142
2495	JIP5	0.496	0.282	0.654	0.23	0.144
2496	BSP1	-0.193	0.034	-0.22	-0.088	-0.206
2497	NORF 25	-0.136	0.029	-0.346	-0.068	-0.365
2498	NORF 29	0.507	0.299	0.178	-0.279	-0.313
2499	NORF 33	0.497	0.67	0.166	0.34	0.592
2500	NORF 37	0.176	0.149	-0.303	-0.149	-0.404
2501	NORF 41	0.059	0.099	0.168	-0.817	-0.304
2502	NORF 45	0.053	0.079	-0.053	0.058	0.101
2503	KTR4	-0.453	-0.441	-0.474	-0.218	-0.015
2504	PYC2	0.579	0.518	0.434	0.523	0.705
2505	ISW1	0.76	0.831	0.446	0.628	0.545
2506	FUS1	-1.083	-0.426	-0.088	-0.384	-0.504
2507	RRP7	0.512	0.599	0.434	0.509	0.371
2508	SPS22	-0.744	-0.319	-0.442	null	-0.589
2509	YGL036W	-0.113	0.277	0.27	-0.093	-0.115
2510	NUP145	0.85	0.403	0.595	-0.647	-0.023
2511	GCN1	0.862	0.144	0.788	-0.381	0.528
2512	SEC15	0.149	-0.057	-0.057	-0.418	0.112
2513	ERG25	-0.224	null	-0.076	-0.969	0.054
2514	SPT6	1.122	1.12	-0.026	0.611	0.914
2515	HAP1	0.298	null	0.188	-0.262	-0.076
2516	YLR280C	-2.306	null	-1.453	-1.548	-1.801
2517	CTF3	-0.393	null	-0.515	-1.037	0.019
2518	HMG2	0.675	null	1.56	-0.183	0.515
2519	FMP27	0.19	null	0.386	-2.423	-0.596
2520	PPZ1	0.628	0.206	0.589	0.124	0.545
2521	FAS2	0.697	0.937	0.761	1.051	0.94
2522	IQG1	0.404	0.382	0.264	-0.721	0.173
2523	GYP5	0.54	0.259	0.268	-0.676	-0.507
2524	TIF6	2.07	1.72	1.923	0.54	1.436
2525	ATG11	0.406	-0.036	0.463	0.193	0.971
2526	HOS1	-0.197	-0.124	0.09	-0.286	-0.046
2527	YHR139C-A	0.485	0.147	0.009	-0.183	-0.265
2528	AIM11	-0.071	-0.271	-0.419	-0.268	-0.102
2529	PRP42	0.491	0.32	0.339	-0.147	-0.005
2530	MRPL7	-0.133	-0.017	-0.242	0.017	0.112
2531	YDR239C	0.089	0.026	-0.215	-0.833	-0.09
2532	NVJ3	-0.247	-0.243	-0.178	-0.295	-0.061
2533	MRPL39	0.146	-0.078	-0.187	0.142	-0.107
2534	UNG1	-0.099	0.187	0.523	0.614	0.609
2535	RPL6A	0.703	1.038	0.787	1.347	1.358
2536	ALO1	0.811	0.05	0.123	0.922	0.866
2537	TUB3	0.222	0.121	-0.236	0.259	0.293
2538	SAM37	-0.385	-0.666	-0.01	-0.147	-0.02
2539	YFL019C	-0.485	null	null	-0.827	-0.457
2540	PMC1	0.49	null	null	0.132	-0.115
2541	SGF73	0.695	null	null	-0.582	0.077
2542	MIG2	0.037	null	null	0.339	0.19
2543	MNT2	0.486	null	null	-0.166	0.273
2544	ADE6	0.327	null	null	-1.518	0.177
2545	YML013C-A	0.57	0.388	0.284	1.058	0.009
2546	YML6	0.62	0.412	0.012	0.471	0.223
2547	YML032C-A	0.909	0.503	0.107	-0.254	0.051
2548	YML039W	0.501	0.329	0.318	-0.641	-0.2
2549	IMD4	0.993	1.159	0.574	0.921	1.102
2550	YML095C-A	0.345	0.728	0.456	0.458	0.277
2551	TOF2	-0.078	-0.306	0.257	-0.428	-0.011
2552	YKR040C	-0.182	null	-0.442	-0.313	-0.608
2553	PRP16	-0.241	-0.18	-0.582	-0.206	-0.216
2554	LMO1	0.584	0.195	0.319	0.211	0.046
2555	SDC25	-0.3	-0.23	-0.312	-0.602	-0.712
2556	PAU17	-0.362	-0.189	-0.943	-0.336	-0.379
2557	KEL3	0.195	0.253	0.349	0.191	0.243
2558	PBI1	0.128	-0.158	null	0.138	0.201
2559	RPA135	1.429	-0.092	1.108	0.074	0.613
2560	YPR044C	0.31	0.995	0.567	1.618	1.42
2561	MSS18	0.255	null	-0.331	0.178	0.009
2562	URN1	-0.928	null	null	null	-0.737
2563	EMPTY	null	null	null	null	null
2564	EMPTY	null	null	null	null	null
2565	EMPTY	null	null	null	null	null
2566	EMPTY	null	null	null	null	null
2567	EMPTY	null	null	null	null	null
2568	EMPTY	null	null	null	null	null
2569	MMS4	0.354	-0.079	0.509	-1.025	-0.401
2570	ATG14	0.181	0.347	-0.451	-0.273	-0.124
2571	SLI15	1.092	0.752	0.307	0.641	0.994
2572	SDS24	-0.427	-0.835	-1.1	-0.813	-0.529
2573	MCX1	0.151	0.118	0.085	0.243	0.267
2574	MAL32	0.675	null	0.276	null	0.183
2575	EMPTY	null	null	null	null	null
2576	EMPTY	null	null	null	null	null
2577	EMPTY	null	null	null	null	null
2578	EMPTY	null	null	null	null	null
2579	EMPTY	null	null	null	null	null
2580	EMPTY	null	null	null	null	null
2581	EMPTY	null	null	null	null	null
2582	EMPTY	null	null	null	null	null
2583	EMPTY	null	null	null	null	null
2584	EMPTY	null	null	null	null	null
2585	EMPTY	null	null	null	null	null
2586	EMPTY	null	null	null	null	null
2587	EMPTY	null	null	null	null	null
2588	EMPTY	null	null	null	null	null
2589	EMPTY	null	null	null	null	null
2590	EMPTY	null	null	null	null	null
2591	EMPTY	null	null	null	null	null
2592	EMPTY	null	null	null	null	null
2593	CY3 0.1X	null	null	null	null	null
2594	3XSSC	null	null	null	null	null
2595	3XSSC	null	null	null	null	null
2596	CY5 0.1X	null	null	null	null	null
2597	3XSSC	null	null	null	null	null
2598	3XSSC	null	null	null	null	null
2599	EMPTY	null	null	null	null	null
2600	EMPTY	null	null	null	null	null
2601	EMPTY	null	null	null	null	null
2602	EMPTY	null	null	null	null	null
2603	EMPTY	null	null	null	null	null
2604	EMPTY	null	null	null	null	null
2605	EMPTY	null	null	null	null	null
2606	EMPTY	null	null	null	null	null
2607	EMPTY	null	null	null	null	null
2608	EMPTY	null	null	null	null	null
2609	EMPTY	null	null	null	null	null
2610	EMPTY	null	null	null	null	null
2611	EMPTY	null	null	null	null	null
2612	EMPTY	null	null	null	null	null
2613	EMPTY	null	null	null	null	null
2614	EMPTY	null	null	null	null	null
2615	EMPTY	null	null	null	null	null
2616	EMPTY	null	null	null	null	null
2617	CY3 0.1X	-7.765	-8.853	-6.671	-7.379	-10.373
2618	3XSSC	0.152	-0.517	null	null	-1
2619	3XSSC	2.34	-1	null	null	null
2620	CY5 0.1X	-0.649	null	null	-1.594	-1.158
2621	3XSSC	-0.499	0.778	null	null	null
2622	3XSSC	1.624	null	null	-2.349	null
2623	EMPTY	0.125	0.003	-0.006	0.581	0.729
2624	EMPTY	null	null	null	null	null
2625	EMPTY	null	null	null	null	null
2626	EMPTY	null	null	null	null	null
2627	EMPTY	null	null	null	null	null
2628	EMPTY	null	null	null	null	null
2629	EMPTY	null	null	null	null	null
2630	EMPTY	null	null	null	null	null
2631	EMPTY	null	null	null	null	null
2632	EMPTY	null	null	null	null	null
2633	EMPTY	null	null	null	null	null
2634	EMPTY	null	null	null	null	null
2635	EMPTY	null	null	null	null	null
2636	EMPTY	null	null	null	null	null
2637	EMPTY	null	null	null	null	null
2638	EMPTY	null	null	null	null	null
2639	EMPTY	null	null	null	null	null
2640	EMPTY	null	null	null	null	null
2641	MSI1	0.139	0.318	-0.662	-0.122	-0.285
2642	YBR197C	0.077	-0.439	-0.694	-0.15	-0.191
2643	KTR4	-0.687	-0.411	-0.275	-0.243	0.324
2644	DER1	-0.834	-0.849	-0.721	-0.49	-0.583
2645	COS111	-0.031	-0.715	-1.397	-0.847	-0.775
2646	KTR3	0.077	0.33	-0.007	1.046	0.562
2647	CTP1	-0.256	-0.487	0.188	0.912	0.414
2648	VBA2	1.004	0.32	0.146	-0.348	0.18
2649	PCA1	0.566	-1.225	0.054	-0.862	-0.327
2650	MAL33	2.028	0.114	0.066	0.322	0.054
